system,game_name,ch_name,id,size
nds,"101 in 1 Explosive Megamix (USA) (En,Fr,Es)","101合1小游戏（美版） (En,Fr,Es)",NDS#34,7.28MB
nds,"101 in 1 Sports Megamix (Europe) (En,Fr,De,Es,It,Nl)","运动101合1（欧版） (En,Fr,De,Es,It,Nl)",NDS#35,13.19MB
nds,"101 in 1 Sports Megamix (USA) (En,Fr,Es)","运动101合1（美版） (En,Fr,Es)",NDS#36,13.18MB
nds,"11 Card Games (Europe) (En,De,Es)",,NDS#37,2.13MB
nds,12 Family Games (Europe) [b],游戏12合1（欧版） [b],NDS#38,3.71MB
nds,123 Sesame Street - Cookie's Counting Carnival - The Videogame (Australia),芝麻街-饼干计数嘉年华（澳洲版）,NDS#39,10.25MB
nds,123 Sesame Street - Cookie's Counting Carnival - The Videogame (USA),芝麻街-饼干计数嘉年华（美版）,NDS#40,10.25MB
nds,123 Sesame Street - Elmo's A-to-Zoo Adventure - The Videogame (Australia),芝麻街-埃尔默动物园历险（澳洲版）,NDS#41,15.49MB
nds,123 Sesame Street - Elmo's A-to-Zoo Adventure - The Videogame (USA),芝麻街-埃尔默动物园历险（美版）,NDS#42,15.49MB
nds,"123 Sesame Street - Ready, Set, Grover! - With Elmo - The Videogame (USA) (En,Es)","芝麻街-准备,设置,格罗弗（美版） (En,Es)",NDS#43,59.47MB
nds,1500 DS Spirits - Mahjong V (Japan),1500DS 魂 Vol.11-麻将V（日版）,NDS#44,2.39MB
nds,1500 DS Spirits - Shougi V (Japan),1500DS 魂 Vol.12-将棋V（日版）,NDS#45,1.76MB
nds,1500 DS Spirits Vol. 1 - Mahjong (Japan),1500日圆系列Vol.1-麻雀（日版）,NDS#46,1.94MB
nds,1500 DS Spirits Vol. 10 - Igo (Japan),1500DS 魂 Vol.10-围棋（日版）,NDS#47,1.60MB
nds,1500 DS Spirits Vol. 2 - Shougi (Japan),1500日圆系列Vol.2-将棋（日版）,NDS#48,1.75MB
nds,1500 DS Spirits Vol. 3 - Block Kuzushi (Japan),1500日圆系列Vol.3-打砖块（日版）,NDS#49,1.53MB
nds,1500 DS Spirits Vol. 4 - Reversi (Japan),1500日圆系列Vol.4-黑白棋（日版）,NDS#50,1.35MB
nds,1500 DS Spirits Vol. 5 - Hanafuda (Japan),1500日圆系列Vol.5-花札（日版）,NDS#51,1.93MB
nds,1500 DS Spirits Vol. 6 - Trump (Japan) [b],1500DS 魂 Vol.6-扑克牌（日版） [b],NDS#52,1.86MB
nds,1500 DS Spirits Vol. 7 - Chess (Japan),1500DS 魂 Vol.7-国际象棋（日版）,NDS#53,1.64MB
nds,1500 DS Spirits Vol. 8 - Darts (Japan),1500DS 魂 Vol.8-射飞镖（日版）,NDS#54,1.60MB
nds,1500 DS Spirits Vol. 9 - 2-nin Uchi Mahjong (Japan),1500DS 魂 Vol.9-2人麻将（日版）,NDS#55,1.87MB
nds,"18 Card Games (Europe) (En,Fr,De,Es,Nl)","18张纸牌游戏（欧版） (En,Fr,De,Es,Nl)",NDS#56,2.32MB
nds,18 Classic Card Games (USA),18款经典纸牌游戏（美版）,NDS#57,2.11MB
nds,1seg Jushin Adapter - DS Television (Japan),,NDS#58,1.66MB
nds,2 Game Pack - My Amusement Park + Digging for Dinosaurs (USA),,NDS#59,17.86MB
nds,2 Game Pack! - Monster Trucks Mayhem + ATV - Thunder Ridge Riders (USA),2合1-ATV雷霆越野车手+怪物卡车（美版）,NDS#60,4.63MB
nds,"2 Games in 1 - Jewel Master - Cradle of Egypt + Mahjongg - Ancient Egypt (Europe) (En,Fr,De,Es,It,Nl)","游戏2合1-珠宝大师埃及的摇篮+古埃及麻将（欧版） (En,Fr,De,Es,It,Nl)",NDS#61,6.42MB
nds,"2 Games on 1 Card - Monster Trucks Mayhem & ATV - Thunder Ridge Riders (Europe) (En,Fr,De,Es,It)","ATV雷霆山脊车手+怪物卡车（欧版） (En,Fr,De,Es,It)",NDS#62,4.65MB
nds,2 in 1 - Best of Bibi Blocksberg - Neustadt im Hex-Chaos + Das Gestohlene Hexbuch (Germany),,NDS#63,23.45MB
nds,2 in 1 - Best Of Bibi Und Tina - Die Grosse Schnitzeljagd + Das Grosse Unwetter (Germany),,NDS#64,18.37MB
nds,"2 in 1 - Mahjong + Mahjong Around the World (Europe) (En,Fr,De,Es,It,Nl)",,NDS#65,7.49MB
nds,"2 in 1 - Music for Kids + Englisch Macht Spass - Eine Reise nach London! (Europe) (En,De) (NDSi Enhanced)",,NDS#66,28.42MB
nds,"2 in 1 - My Little Baby + My Boyfriend (Europe) (En,Fr,De,Es,It,Sv,No,Da)",,NDS#67,16.94MB
nds,"2 in 1 - My Pet Hotel + My Vet Practice - In the Country (Europe) (En,Fr,De)",,NDS#68,30.64MB
nds,"2 in 1 - My Pet Hotel 2 + My Vet Practice - In the Country (Europe) (Fr,De)",,NDS#69,40.71MB
nds,"2 in 1 - My Pet School + Best Friends - My Horse (Europe) (En,Fr,De)",,NDS#70,18.46MB
nds,"2 in 1 - My Riding Stables + My Riding Stables - Life with Horses (Europe) (En,Fr,De,Es,It)",,NDS#71,26.07MB
nds,"2 in 1 - My Riding Stables + My Western Horse (Europe) (En,Fr,De)",,NDS#72,21.98MB
nds,"2 in 1 - My Vet Practice + My Pet Hotel 2 (Europe) (En,Fr,De,Es,It)",,NDS#73,25.16MB
nds,2-Pack - Pinkalicious - It's Party Time! & Silverlicious - Sweet Adventure (USA),,NDS#74,15.11MB
nds,200 Klassische Buecher (Germany),200本古典名著（德国版）,NDS#75,13.51MB
nds,"2006 FIFA World Cup - Germany 2006 (Europe) (En,Fr,De,Es,It)","Fifa 世界杯20006（欧版） (En,Fr,De,Es,It)",NDS#76,23.98MB
nds,2006 FIFA World Cup - Germany 2006 (USA),Fifa 世界杯20006（美版）,NDS#77,23.98MB
nds,2006-Nen 10-Gatsu Taikenban Soft (Japan) (Demo) (Kiosk),,NDS#78,37.83MB
nds,"3 Game Pack! - Cradle of Rome + Cradle of Athena + Cradle of Egypt (Europe) (En,Fr,De,Es,It,Nl)",,NDS#79,12.91MB
nds,"3 Game Pack! - Cradle of Rome + Cradle of Athena + Cradle of Egypt (Europe) (En,Fr,De,Es,It,Nl) (Rev 1)",,NDS#80,12.91MB
nds,"3 Game Pack! - Uno & Skip-Bo & Uno Free Fall (Europe) (En,Fr,De,Es,It)","桌面游戏3合1（欧版） (En,Fr,De,Es,It)",NDS#81,1.61MB
nds,3 Game Pack! - Uno + Skip-Bo + Uno Free Fall (USA),扑克3合1（美版）,NDS#82,1.58MB
nds,"3 in 1 - Animals (Europe) (En,Fr,De)",,NDS#83,29.70MB
nds,"3 in 1 - Horses (Europe) (En,Fr,De)",,NDS#84,31.09MB
nds,"3 in 1 - My Horse + My Vet Practice + My Vet Practice in the Country (Europe) (Fr,De,It)",,NDS#85,29.57MB
nds,"3 in 1 - My Riding Stables + My Pet School + My Western Horse (Europe) (Fr,De,It)",,NDS#86,26.14MB
nds,"3 in 1 - My Riding Stables - Life with Horses + My Pet Hotel 2 & + My Pet School (Europe) (Fr,De,It)",,NDS#87,37.05MB
nds,"3 in 1 - My Vet Practice & Riding Star & My Vet Practice in Australia (Europe) (En,Fr,De,Es,It)",,NDS#88,30.19MB
nds,"3 in 1 - Solitaire, Mahjong & Tangram (Europe) (En,Fr,De,Es,It,Nl)","游戏3合1-接龙,麻将,七巧板（欧版） (En,Fr,De,Es,It,Nl)",NDS#89,5.01MB
nds,4 Elements (Europe),四元素（欧版）,NDS#90,8.33MB
nds,"4 Elements (Europe) (Fr,De)","四元素（欧版） (Fr,De)",NDS#91,9.47MB
nds,"4 Elements (Europe) (Fr,Nl)","四元素（欧版） (Fr,Nl)",NDS#92,9.00MB
nds,4 Game Fun Pack - Monopoly + Boggle + Yahtzee + Battleship (Europe),4合1：大富翁，拼字母，骰子，战舰（欧版）,NDS#93,13.36MB
nds,4 Game Fun Pack - Monopoly + Boggle + Yahtzee + Battleship (USA),4合1：大富翁，拼字母，骰子，战舰（美版）,NDS#94,14.00MB
nds,4 Game Pack! - Battleship + Connect Four + Sorry! + Trouble (USA),游戏4合1-战斗船+连接4+对不起+麻烦（美版）,NDS#95,2.38MB
nds,4 Game Pack! - Clue + Aggravation + Perfection + Mouse Trap (USA),益智游戏4合1（美版）,NDS#96,2.97MB
nds,4 in 1 - Meine Tierarztpraxis + Meine Tierpension + Mein Gestuet + Mein Pferd (Germany),,NDS#97,22.87MB
nds,4 Kyouka Perfect Clear DS (Japan) (Not for Resale),,NDS#98,10.16MB
nds,4 Kyouka Perfect Clear DS - Eigo Onsei Tsuki (Japan) (Not for Resale),,NDS#99,64.61MB
nds,"42 All-Time Classics (Europe) (En,Fr,De,Es,It)","42个经典棋牌桌面游戏（欧版） (En,Fr,De,Es,It)",NDS#100,6.89MB
nds,"42 All-Time Classics (Europe) (En,Fr,De,Es,It) (Rev 1)","42个经典棋牌桌面游戏（欧版） (En,Fr,De,Es,It) （修正版 1）",NDS#101,6.98MB
nds,5-kyuu kara 1-kyuu Kanzen Taiou Saishin Kako Mondai - Nijishiken Taisaku - Eiken Kanzenban (Japan),,NDS#102,100.09MB
nds,5-kyuu kara 1-kyuu Kanzen Taiou Saishin Kako Mondai - Nijishiken Taisaku - Eiken Kanzenban (Japan) (Rev 1) [b],,NDS#103,97.57MB
nds,5-Nen Kanji Keisan Nigate Hunter DS (Japan) (Not for Resale),,NDS#104,6.09MB
nds,"50 Classic Games (Europe) (En,Fr,De,Es,It,Nl)","50 经典游戏（欧版） (En,Fr,De,Es,It,Nl)",NDS#105,3.52MB
nds,50 Classic Games (USA),50 经典游戏（美版）,NDS#106,3.53MB
nds,50 Classic Games (USA) (Rev 1),50 经典游戏（美版） （修正版 1）,NDS#107,3.50MB
nds,"50 Jeux Incontournables (France) (En,Fr,De,Es,It,Nl) [b]","50 经典游戏（法国版） (En,Fr,De,Es,It,Nl) [b]",NDS#108,3.52MB
nds,50 More Classic Games (USA),,NDS#109,3.26MB
nds,7 Wonders - Treasures of Seven (Europe),,NDS#110,4.43MB
nds,"7 Wonders - Treasures of Seven (France) (Fr,Nl)",,NDS#111,4.61MB
nds,7 Wonders - Treasures of Seven (USA),,NDS#112,4.43MB
nds,7 Wonders II (Europe),七大奇迹2（欧版）,NDS#113,3.10MB
nds,"7 Wonders II (Europe) (En,Fr)","七大奇迹2（欧版） (En,Fr)",NDS#114,3.27MB
nds,7 Wonders II (Germany),七大奇迹2（德国版）,NDS#115,3.09MB
nds,7 Wonders II (USA),七大奇迹2（美版）,NDS#116,3.09MB
nds,"7 Wonders of the Ancient World (Europe) (En,Fr,De,Es,It)","七大奇迹（欧版） (En,Fr,De,Es,It)",NDS#117,4.96MB
nds,7 Wonders of the Ancient World (USA),七大奇迹（美版）,NDS#118,3.35MB
nds,700 Mannin no Atama o Yoku Suru - Chou Keisan DS - 13000 Mon + Image Keisan (Japan),,NDS#119,1.67MB
nds,7th Dragon (Japan),七龙传说（日版）,NDS#120,25.19MB
nds,"8BallAllstars (Europe) (En,Fr,De,Es,It)","台球全明星（欧版） (En,Fr,De,Es,It)",NDS#121,1.01MB
nds,99 no Namida (Japan),99滴眼泪（日版）,NDS#122,21.27MB
nds,[BIOS] iQue DS Lite ARM7TDMI (GBA Mode) (China),,NDS#123,7.33KB
nds,[BIOS] iQue DS Lite ARM946E-S (China),,NDS#124,2.15KB
nds,[BIOS] iQue DS Lite Firmware (China),,NDS#125,200.95KB
nds,[BIOS] iQue DS Lite Firmware (China) (Alt),,NDS#126,360.72KB
nds,[BIOS] Nintendo DS ARM7TDMI (GBA Mode) (World),,NDS#127,12.51KB
nds,[BIOS] Nintendo DS ARM7TDMI (World),,NDS#128,12.53KB
nds,[BIOS] Nintendo DS ARM946E-S (World),,NDS#129,2.37KB
nds,[BIOS] Nintendo DS Lite Firmware (Europe),,NDS#130,226.66KB
nds,A Prendre ou a Laisser - Le Jeu Officiel (France),一掷千金（法国版）,NDS#131,2.09MB
nds,A Ressha de Ikou DS (Japan),A 列车 DS（日版）,NDS#132,11.70MB
nds,A-Max Boxing (Japan) (Proto),,NDS#133,256.28KB
nds,A-Max Tennis (Japan) (En) (Proto),,NDS#134,149.23KB
nds,Ab durch die Hecke (Germany),篱笆墙外（德国版）,NDS#135,21.68MB
nds,Ace Attorney Investigations - Miles Edgeworth (Europe),逆转检事（欧版）,NDS#136,23.66MB
nds,Ace Attorney Investigations - Miles Edgeworth (USA),逆转检事（美版）,NDS#137,23.65MB
nds,AceKard 2 (World) (Unl),,NDS#138,50.18KB
nds,AceKard 2 (World) (v2.1) (Unl),,NDS#139,35.17KB
nds,AceKard 2i (World) (Unl),,NDS#140,55.87KB
nds,AceKard R.P.G. (World) (Unl),,NDS#141,35.71KB
nds,Action Replay DS (World) (v1.00) (Unl) [b],,NDS#142,160.77KB
nds,Action Replay DS (World) (v1.02) (Unl),,NDS#143,161.63KB
nds,Action Replay DS (World) (v1.54) (Unl) [b],,NDS#144,292.38KB
nds,"Actionloop (Europe) (En,Fr,De,Es,It)","瞬感龙珠（欧版） (En,Fr,De,Es,It)",NDS#145,4.21MB
nds,Active Health with Carol Vorderman (Europe),和卡罗尔沃德曼一起保持健康（欧版）,NDS#146,9.40MB
nds,"Actua Pool (Europe) (En,De,Es,It)","真实撞球（欧版） (En,De,Es,It)",NDS#147,2.69MB
nds,Actua Pool (France),真实撞球（法国版）,NDS#148,2.67MB
nds,"Addy - Do You Speak English (Europe) (Fr,De,Es,It)","安迪-你能说英语吗（欧版） (Fr,De,Es,It)",NDS#149,3.84MB
nds,Addy Junior - Mein Koerper (Germany),小阿迪-我的身体（德国版）,NDS#150,37.23MB
nds,"Adi l'Entraineur - Mathematiques, Francais 6e & 5e (France) [b]",阿迪的训练6eme1-5eme（法国版） [b],NDS#151,4.52MB
nds,"Adi l'Entraineur - Mathematiques, Francais CE1-CE2 (France) [b]",阿迪的训练CE1-CE2（法国版） [b],NDS#152,5.49MB
nds,"Adi l'Entraineur - Mathematiques, Francais CM1-CM2 (France) [b]",阿迪的训练CM1-CM2（法国版） [b],NDS#153,3.99MB
nds,Adi l'Entraineur - Objectif Anglais (France),ADI训练员-英国宗旨（法国版）,NDS#154,3.74MB
nds,Adibou - Je Joue a Lire et a Compter (France) [b],阿迪波（法国版） [b],NDS#155,21.92MB
nds,Adibou - Je Joue avec les Lettres et les Nombres (France) [b],阿迪波-字母与数字（法国版） [b],NDS#156,21.69MB
nds,Adibou Aventure - J'Explore le Corps Humain (France),阿迪波冒险记（法国版）,NDS#157,44.49MB
nds,"Advance Wars - Dark Conflict (Europe) (En,Fr,De,Es,It)","高级战争-黑暗冲突（欧版） (En,Fr,De,Es,It)",NDS#158,37.62MB
nds,Advance Wars - Days of Ruin (USA) (Demo) (Kiosk),高级战争-毁灭之日（美版） （演示版） （商店演示版）,NDS#159,37.83MB
nds,"Advance Wars - Days of Ruin (USA) (En,Fr,Es)","高级战争-毁灭之日（美版） (En,Fr,Es)",NDS#160,37.83MB
nds,"Advance Wars - Dual Strike (Europe) (En,Fr,De,Es,It)","高级战争（欧版） (En,Fr,De,Es,It)",NDS#161,14.05MB
nds,Advance Wars - Dual Strike (USA),高级战争（美版）,NDS#162,12.56MB
nds,Adventure Time - Hey Ice King! Why'd You Steal Our Garbage!! (USA),,NDS#163,12.37MB
nds,Adventures of Pinocchio (Europe),木偶奇遇记（欧版）,NDS#164,18.24MB
nds,Affari Tuoi (Italy),一掷千金（意大利版）,NDS#165,2.05MB
nds,AFL Mascot Manor (Australia),美国橄榄球联盟-吉祥物玛诺（澳洲版）,NDS#166,22.75MB
nds,Again - FBI Chou Shinri Sousakan (Japan),又一次-FBI超能力探员（日版）,NDS#167,63.34MB
nds,Again - Interactive Crime Novel (USA),又一次-FBI超能力探员（美版）,NDS#168,62.84MB
nds,"Agatha Christie - The ABC Murders (Europe) (En,Fr,De,Es,It)","阿嘉莎克莉丝蒂-ABC谋杀案（欧版） (En,Fr,De,Es,It)",NDS#169,9.06MB
nds,"Agatha Christie - The ABC Murders (Europe) (En,Fr,De,Es,Nl)","阿嘉莎克莉丝蒂-ABC谋杀案（欧版） (En,Fr,De,Es,Nl)",NDS#170,9.12MB
nds,"Agatha Christie - The ABC Murders (USA) (En,Fr,Es)","阿嘉莎克莉丝蒂-ABC谋杀案（美版） (En,Fr,Es)",NDS#171,9.04MB
nds,"Age of Empires - Mythologies (Europe) (En,Fr,De,Es,It)","帝国时代-神话世纪（欧版） (En,Fr,De,Es,It)",NDS#172,99.74MB
nds,"Age of Empires - Mythologies (USA) (En,Fr)","帝国时代-神话世纪（美版） (En,Fr)",NDS#173,99.74MB
nds,"Age of Empires - The Age of Kings (Europe) (En,Es,It)","帝国时代-帝王世纪（欧版） (En,Es,It)",NDS#174,25.48MB
nds,"Age of Empires - The Age of Kings (Europe) (En,Fr,De)","帝国时代-帝王世纪（欧版） (En,Fr,De)",NDS#175,25.52MB
nds,Age of Empires - The Age of Kings (USA),帝国时代-帝王世纪（美版）,NDS#176,25.25MB
nds,Aibou DS (Japan),搭档 DS（日版）,NDS#177,69.73MB
nds,Air Traffic Chaos (USA),空中交通大混乱-我是航空管制官（美版）,NDS#178,4.38MB
nds,Akachan wa Doko kara Kuru no (Japan),为你而生-宝宝从哪里来？（日版）,NDS#179,39.92MB
nds,Akagawa Jirou Mystery - Tsuki no Hikari - Shizumeru Kane no Satsujin (Japan),赤川次郎悬疑小说-月光-沉钟杀人（日版）,NDS#180,68.17MB
nds,Akagawa Jirou Mystery - Yasoukyoku - Hon ni Manekareta Satsujin (Japan),赤川次郎侦探系列-夜想曲-由一本书所引起的杀人案（日版）,NDS#181,67.56MB
nds,Akai Ito Destiny DS (Japan),红线 destiny DS（日版）,NDS#182,80.24MB
nds,Akai Ito DS (Japan),红线DS（日版）,NDS#183,62.00MB
nds,Akko de Pon! - Ikasama Hourouki (Japan),现子麻将-作弊流浪记（日版）,NDS#184,10.15MB
nds,Akko ni Omakase! - Brain Shock (Japan),大脑冲击-脑细胞活性化（日版）,NDS#185,18.59MB
nds,Akogare Girls Collection - Lovely Youchien Nikki (Japan),憧憬女孩收藏集-亲爱幼稚园日记（日版）,NDS#186,6.11MB
nds,Akogare Girls Collection - Mister Donut DS (Japan),甜甜圈大挑战DS（日版）,NDS#187,6.42MB
nds,Akogare Girls Collection - Ohanaya-san Monogatari (Japan),花店物语（日版）,NDS#188,7.78MB
nds,Akogare Girls Collection - Pika Pika Nurse Monogatari (Japan),,NDS#189,11.96MB
nds,Akogare Girls Collection - Suteki ni Nurse Days (Japan),憧憬女孩收藏集 - 美好的护士生活（日版）,NDS#190,4.75MB
nds,Akumajou Dracula - Gallery of Labyrinth (Japan),恶魔城-迷宫的画廊（日版）,NDS#191,22.47MB
nds,Akumajou Dracula - Gallery of Labyrinth (Japan) (Rev 1),恶魔城-迷宫的画廊（日版） （修正版 1）,NDS#192,22.58MB
nds,Akumajou Dracula - Sougetsu no Juujika (Japan) (Rev 1),恶魔城-苍月的十字架（日版） （修正版 1）,NDS#193,17.07MB
nds,Akumajou Dracula - Ubawareta Kokuin (Japan),恶魔城-被夺走的刻印（日版）,NDS#194,24.98MB
nds,ALC no 10-punkan Eigo Master - Chuukyuu (Japan),ALC的10分钟英语大师-中级（日版）,NDS#195,39.55MB
nds,ALC no 10-punkan Eigo Master - Chuukyuu (Japan) (Rev 1),ALC的10分钟英语大师-中级（日版） （修正版 1）,NDS#196,39.56MB
nds,ALC no 10-punkan Eigo Master - Joukyuu (Japan) (Rev 1),十分钟英语大师-上级（日版） （修正版 1）,NDS#197,37.44MB
nds,ALC no 10-punkan Eigo Master - Shokyuu (Japan),ALC的十分钟英语大师-初级（日版）,NDS#198,36.08MB
nds,ALC no 10-punkan Eigo Master - Shokyuu (Japan) (Rev 1),ALC的十分钟英语大师-初级（日版） （修正版 1）,NDS#199,36.09MB
nds,"Alex Rider - Stormbreaker (Europe) (En,Fr,De,Es)","亚历克斯风暴骑士（欧版） (En,Fr,De,Es)",NDS#200,10.22MB
nds,Alex Rider - Stormbreaker (United Kingdom),亚历克斯风暴骑士(United Kingdom),NDS#201,10.19MB
nds,Alex Rider - Stormbreaker (USA),亚历克斯风暴骑士（美版）,NDS#202,10.23MB
nds,"Alice in Wonderland (Europe) (En,Fr,De,Es,It,Nl) (NDSi Enhanced)","爱丽丝梦游仙境（欧版） (En,Fr,De,Es,It,Nl) (NDSi Enhanced)",NDS#203,20.16MB
nds,"Alice in Wonderland (USA) (En,Fr,Es) (NDSi Enhanced)","爱丽丝梦游仙境（美版） (En,Fr,Es) (NDSi Enhanced)",NDS#204,25.00MB
nds,"Aliens - Infestation (Europe) (En,Fr,De)","异型-群袭（欧版） (En,Fr,De)",NDS#205,6.44MB
nds,"Aliens - Infestation (USA) (En,Fr,De)","异型-群袭（美版） (En,Fr,De)",NDS#206,6.44MB
nds,"Aliens in the Attic (Europe) (En,Fr,De,Es,It,Nl)","楼上的外星人（欧版） (En,Fr,De,Es,It,Nl)",NDS#207,12.03MB
nds,"Aliens in the Attic (USA) (En,Fr,De,Es,It,Nl)","楼上的外星人（美版） (En,Fr,De,Es,It,Nl)",NDS#208,12.03MB
nds,All Kamen Rider - Rider Generation (Japan),完全假面骑士-骑士世代（日版）,NDS#209,19.65MB
nds,All Kamen Rider - Rider Generation 2 (Japan),,NDS#210,45.95MB
nds,All Star Cheer Squad (USA),全明星拉拉队（美版）,NDS#211,31.87MB
nds,"All Star Cheerleader (Europe) (En,De,Es)","全明星啦啦队（欧版） (En,De,Es)",NDS#212,32.03MB
nds,"All Star Cheerleader (Europe) (Sv,No,Da,Fi)","全明星啦啦队（欧版） (Sv,No,Da,Fi)",NDS#213,32.03MB
nds,Allez Raconte (France),,NDS#214,51.12MB
nds,"Allied Ace Pilots (Europe) (En,Fr,De,Es,It)","盟军王牌飞行员（欧版） (En,Fr,De,Es,It)",NDS#215,5.35MB
nds,"Alpha and Omega (Europe) (En,Fr,De,Es,It)","丛林有情狼（欧版） (En,Fr,De,Es,It)",NDS#216,17.62MB
nds,Alpha and Omega (USA),丛林有情狼（美版）,NDS#217,17.57MB
nds,Alssongdalssong - Myeonghwatamheom DS (Korea) [b],解谜杰作探险 DS（韩国版） [b],NDS#218,32.24MB
nds,"Alvin and the Chipmunks (Europe) (En,Fr,De,Es,It)","艾尔文与花栗鼠（欧版） (En,Fr,De,Es,It)",NDS#219,45.94MB
nds,"Alvin and the Chipmunks (USA) (En,Fr)","艾尔文与花栗鼠（美版） (En,Fr)",NDS#220,46.14MB
nds,Alvin and the Chipmunks - Chipwrecked (Europe),,NDS#221,42.63MB
nds,"Alvin and the Chipmunks - Chipwrecked (Europe) (Fr,De,Es,It)",,NDS#222,42.65MB
nds,"Alvin and the Chipmunks - Chipwrecked (USA) (En,Fr)",,NDS#223,42.65MB
nds,"Alvin and the Chipmunks - The Squeakquel (Europe) (En,Fr,De)","艾尔文与花栗鼠-明星俱乐部（欧版） (En,Fr,De)",NDS#224,37.95MB
nds,Alvin and the Chipmunks - The Squeakquel (USA),艾尔文与花栗鼠-明星俱乐部（美版）,NDS#225,37.95MB
nds,"Aly & AJ Adventure, The (Europe) (En,Fr,De,Es,It)","艾莉与艾洁的冒险（欧版） (En,Fr,De,Es,It)",NDS#226,4.55MB
nds,"Aly & AJ Adventure, The (USA)",艾莉与艾洁的冒险（美版）,NDS#227,4.54MB
nds,"Amazing Adventures - The Forgotten Ruins (Europe) (En,Fr,De,Es,It)","惊奇大冒险（欧版） (En,Fr,De,Es,It)",NDS#228,12.24MB
nds,Amazing Adventures - The Forgotten Ruins (USA),惊奇大冒险（美版）,NDS#229,11.51MB
nds,"Amazing Spider-Man, The (Europe) (En,Fr,De,Es,It)",,NDS#230,17.69MB
nds,"Amazing Spider-Man, The (USA)",,NDS#231,17.69MB
nds,"America's Next Top Model (Europe) (En,De)","全美超模大赛（欧版） (En,De)",NDS#232,13.99MB
nds,"America's Next Top Model (Europe) (En,Fr,Es,It)","全美超模大赛（欧版） (En,Fr,Es,It)",NDS#233,38.23MB
